semana,tipo,titulo,url
1,deck,Deck de teoría (Gamma),https://gamma.app/embed/5t6jb4n2qt87mpa
1,sesion,Material de la sesión,https://drive.google.com/file/d/1OuV1vDK-yDl-HYPGBxUhXpr5ZhIaJw62/view?usp=drive_link
1,video,Video NotebookLM,https://drive.google.com/file/d/1mKAvqrb6Lv0oxBl88A6RC6DMbkmb5lkQ/view?usp=drive_link
1,audio,Podcast NotebookLM,https://drive.google.com/file/d/1nbraBSSAhsNvBYffjVCbj7xPDnLeExX4/view?usp=drive_link
2,deck,Deck de teoría (Gamma),https://gamma.app/embed/dfiaxb1z4wk0ncj
2,sesion,Material de la sesión,https://drive.google.com/file/d/1YfP0-dX-pcLYVSiKEIMe8WhbVMKfsqvB/view?usp=drive_link
2,video,Video NotebookLM,https://drive.google.com/file/d/1JqbK1XJar9bSsd_RMwkrCA7GPV6MeBDx/view?usp=drive_link
2,audio,Podcast NotebookLM,https://drive.google.com/file/d/1FcbnbUQ_cAbC-g4dY9kc9_Wj-Uli66bQ/view?usp=drive_link
3,deck,Deck de teoría (Gamma),https://gamma.app/embed/ogt3xmop7h4c0k5
3,sesion,Material de la sesión,https://drive.google.com/file/d/1G99vfAV7iClR7azEdz3MEyuFRDIcH7wl/view?usp=drive_link
3,video,Video NotebookLM,https://drive.google.com/file/d/1pWWhvE-wuJMjHGf4Jx8Ywvd6syORqmjh/view?usp=drive_link
3,audio,Podcast NotebookLM,https://drive.google.com/file/d/16GL-zChY3QzTi6Wt2Ha28b4g62MbN54E/view?usp=drive_link
