sesion,titulo,unidad,estado,etiqueta,teoria,auditoria,ficha,recursos,glosario
1,¿Por qué los números?,1,disponible,,1,1,1,1,1
2,De los números a la estrategia,1,disponible,,1,1,1,1,1
3,Operar con intención,2,proximamente,,1,1,1,1,0
4,"Fracciones, decimales y porcentajes",2,proximamente,,1,1,1,1,0
5,Potencias y órdenes de magnitud,2,proximamente,,1,1,1,1,0
6,La variable y las ecuaciones,3,proximamente,,1,1,1,1,0
7,Despejar fórmulas,3,proximamente,,1,1,1,1,0
8,Funciones lineales y gráficas,3,proximamente,,1,1,1,1,0
9,Cuando el mundo se curva,4,proximamente,,1,1,1,1,0
10,Lo exponencial,4,proximamente,,1,1,1,1,0
11,Crecimiento compuesto y viralidad,4,proximamente,,1,1,1,1,0
12,Incertidumbre y azar,4,proximamente,,1,1,1,1,0
13,Integrar el modelo,5,proximamente,,1,1,1,1,0
14,Ética del número,5,proximamente,,1,1,1,1,0
15,Cierre y pitch,5,proximamente,,1,1,1,1,0
